Fid,likes,improve
1,everything!,nothing
2,"My favorite part is the home page!","Maybe change the color a little "
3,"the colors","everything is perfect"
4,"I really like the theme","Maybe add a social media link!"
5,"I like how easy I can get my readings!","I would like to see maybe a setting that allows for sharing of my readings."
6,"I hate it!",Evrything
7,"Gives me accurate values each time!","Make one for android!"
8,Nothing,"Destroy this app"
9,"the accessability","make it global"
10,"I hate that I love it","more colors"
11,"love that its on iOS","make an android version"
12,"Love the graphs page","have social media"
13,"Graphs look good!","Perhaps more points?"
14,"Love it all!","Maybe more colors?"
15,"Works great!","Perhaps a new logo"
16,"Really Enjoy the Aesthetic!","Would like different fonts!"
17,hello,hello
18,!#%@$^,
19,,
20,,
